batsmen,bowlers,batsmen,bowlers
KL Rahul,R Ashwin,V Kohli,UT Yadav
CH Gayle,AJ Tye,Pa Patel,TG Southee
KK Nair,AS Rajpoot,MM Ali,Mohammed Siraj
AJ Finch,MM Sharma,AB de Villiers,YS Chahal
MP Stoinis,MP Stoinis,Mandeep Singh,C de Grandhomme
MA Agarwal,,SN Khan,MM Ali
AR Patel,,C de Grandhomme,
R Ashwin,,TG Southee,
AJ Tye,,UT Yadav,
MM Sharma,,Mohammed Siraj,
AS Rajpoot,,YS Chahal,
