batsmen,bowlers,batsmen,bowlers
CA Lynn,SP Narine,KL Rahul,MM Sharma
SP Narine,M Prasidh Krishan,CH Gayle,Mujeeb Ur Rahman
RV Uthappa,JPR Scantlebury-Searles,MA Agarwal,R Ashwin
AD Russell,AD Russell,KK Nair,BB Sran
KD Karthik,Kuldeep Yadav,AJ Finch,AJ Tye
N Rana,PP Chawla,AR Patel,AR Patel
Shubham Gill,,R Ashwin,
JPR Scantlebury-Searles,,AJ Tye,
PP Chawla,,BB Sran,
Kuldeep Yadav,,MM Sharma,
M Prasidh Krishan,,Mujeeb Ur Rahman,
