batsmen,bowlers,batsmen,bowlers
KL Rahul,Andrew Tye,Chris Lynn,Sunil Narine
Aaron Finch,Mujeeb Zadran,Shubman Gill,Mitchell Starc
Karun Nair,Ankit Rajpoot,Rinku Singh,Kuldeep Yadav
David Miller,Mohit Sharma,Ishank Jaggi,Piyush Chawla
Johnson Charles,Axar Patel,Dinesh Karthik,Andre Russell
Axar Patel,R Ashwin,Andre Russell,Nitish Rana
R Ashwin,,Nitish Rana,
Andrew Tye,,Sunil Narine,
Mujeeb Zadran,,Mitchell Starc,
Ankit Rajpoot,,Kuldeep Yadav,
Mohit Sharma,,Piyush Chawla,
