batsmen,bowlers,batsmen,bowlers
S Dhawan,Sandeep Sharma,SR Watson,DL Chahar
AD Hales,B Kumar,AT Rayudu,SN Thakur
KS Williamson,Rashid Khan,SK Raina,DJ Willey
MK Pandey,Shakib Al Hasan,MS Dhoni,Harbhajan Singh
DJ Hooda,S Kaul,SW Billings,SR Watson
Shakib Al Hasan,,DJ Bravo,DJ Bravo
SP Goswami,,RA Jadeja,RA Jadeja
Rashid Khan,,DJ Willey,
B Kumar,,Harbhajan Singh,
S Kaul,,Dl Chahar,
Sandeep Sharma,,SN Thakur,
