batsmen,bowlers,batsmen,bowlers
RA Tripathi,K Gowtham,SP Narine,Shivam Mavi
JC Buttler,BA Stokes,CA Lynn,M Prasidh Krishan
AM Rahane,JC Sodhi,RV Uthappa,SP Narine
SV Samson,JD Unadkat,N Rana,AD Russell
BA Stokes,Anureet Singh,KD karthik,Kuldeep Yadav
STR Binny,,AD Russell,
K Gowtham,,Shubham Gill,
JD Unadkat,,Shivam mavi,
IS Sodhi,,JPR Scantlebury-Searles,
JC Archer,,Kuldep Yadav,
Anureet Singh,,M Prasidh Krishna,
