batsmen,bowlers,batsmen,bowlers
PP Shaw,TA Boult,AD Hales,B Kumar
JJ Roy,HV Patel,S Dhawan,Sandeep Sharma
SS Iyer,S Nadeem,KS Williamson,Shakib Al Hasan
RR Pant,LE Plunkett,MK Pandey,S Kaul
HV Patel,A Mishra,Shakib Al Hasan,Rashid Khan
GJ Maxwell,V Shankar,YK Pathan,
V Shankar,GJ Maxwell,SP Goswami,
LE Plunkett,,Rashid Khan,
S Nadeem,,B Kumar,
A Mishra,,S Kaul,
TA Boult,,Sandeep Sharma,
