Pos,Player,Inns,NO,Runs,HS,Avg,BF,SR,100,50,4s,6s,Cluster_num
338,Anirudh Singh,4,1,63.0,40.0,21.0,66,0.9545454545450001,0,0,6,1,1
339,CA Pujara,22,5,390.0,51.0,22.43333333333333,385,1.01298701299,0,1,50,4,3
340,DH Yagnik,17,10,170.0,34.0,inf,127,1.33858267717,0,0,23,2,1
341,Q de Kock,26,5,726.0,108.0,33.513636363636365,544,1.3345588235299999,1,5,90,21,3
342,Salman Butt,7,2,193.0,73.0,38.6,156,1.23717948718,0,1,30,2,1
343,S Ladda,2,0,0.0,0.0,0.0,9,0.0,0,0,0,0,1
344,N Rana,15,2,437.0,70.0,33.98333333333333,336,1.3005952381,0,4,31,25,3
345,J Botha,28,12,409.0,67.0,26.55,353,1.1586402266299998,0,1,39,5,3
346,DA Miller,64,26,1563.0,101.0,41.834259259259255,1079,1.4485634847100002,1,8,104,78,2
347,RT Ponting,9,4,91.0,28.0,18.416666666666664,126,0.722222222222,0,0,5,2,1
348,AB McDonald,9,5,123.0,33.0,,96,1.28125,0,0,9,4,1
349,KP Appanna,3,2,2.0,1.0,,3,0.666666666667,0,0,0,0,1
350,MJ Clarke,6,3,98.0,41.0,32.666666666666664,92,1.0652173913,0,0,12,0,1
351,BA Bhatt,2,2,6.0,6.0,,7,0.8571428571430001,0,0,0,1,1
352,J Arunkumar,3,0,23.0,22.0,7.666666666666668,22,1.04545454545,0,0,5,0,1
353,AG Paunikar,5,1,49.0,20.0,8.166666666666666,54,0.9074074074070001,0,0,9,0,1
354,Misbah-ul-Haq,8,4,117.0,47.0,29.25,80,1.4625,0,0,10,6,1
355,AD Nath,4,1,20.0,12.0,,28,0.714285714286,0,0,1,0,1
356,T Kohli,3,0,11.0,7.0,3.0,19,0.578947368421,0,0,0,1,1
357,Mandeep Singh,58,9,1112.0,77.0,17.867099567099572,906,1.22737306843,0,5,134,18,2
358,M de Lange,1,0,1.0,1.0,1.0,2,0.5,0,0,0,0,1
359,GJ Maxwell,55,11,1229.0,95.0,25.253457190957192,717,1.71408647141,0,6,96,82,2
360,AA Jhunjhunwala,15,2,217.0,53.0,12.444444444444445,209,1.03827751196,0,1,19,5,1
361,YA Abdulla,1,1,0.0,0.0,,0,0.0,0,0,0,0,1
362,LR Shukla,33,8,405.0,48.0,14.136904761904766,338,1.19822485207,0,0,33,16,3
363,AG Murtaza,3,3,10.0,5.0,inf,14,0.714285714286,0,0,1,0,1
364,RJ Peterson,5,2,32.0,16.0,10.666666666666666,29,1.1034482758600002,0,0,3,1,1
365,SN Khan,11,5,177.0,45.0,30.375,100,1.77,0,0,19,6,1
366,KK Nair,50,13,1158.0,83.0,inf,895,1.2938547486,0,8,135,26,2
367,MR Marsh,14,2,225.0,38.0,16.5,194,1.15979381443,0,0,9,14,1
368,SM Harwood,2,2,9.0,6.0,inf,10,0.9,0,0,0,0,1
369,KH Pandya,19,8,480.0,86.0,43.95,299,1.60535117057,0,1,46,20,3
370,R Rampaul,7,3,51.0,23.0,12.833333333333332,47,1.0851063829799998,0,0,3,2,1
371,RN ten Doeschate,21,10,326.0,70.0,30.866666666666664,230,1.41739130435,0,1,26,15,3
372,KD Karthik,134,37,2903.0,86.0,31.063311965811966,2271,1.27829150154,0,14,286,71,0
373,DJ Harris,4,1,111.0,47.0,37.0,100,1.11,0,0,11,5,1
374,MA Agarwal,48,7,814.0,68.0,17.766156462585034,652,1.24846625767,0,3,82,33,3
375,DB Das,22,14,304.0,35.0,61.36666666666667,250,1.216,0,0,23,16,3
376,JDS Neesham,3,0,42.0,22.0,14.0,46,0.9130434782610001,0,0,3,1,1
377,S Randiv,1,0,2.0,2.0,2.0,4,0.5,0,0,0,0,1
378,Bipul Sharma,17,11,187.0,35.0,inf,121,1.54545454545,0,0,11,9,1
379,JP Faulkner,45,20,527.0,46.0,20.223015873015875,379,1.39050131926,0,0,36,23,3
380,DS Lehmann,2,2,18.0,17.0,inf,17,1.05882352941,0,0,3,0,1
381,M Klinger,4,1,73.0,29.0,24.33333333333333,74,0.986486486486,0,0,9,0,1
382,UA Birla,1,0,7.0,7.0,7.0,15,0.46666666666699996,0,0,1,0,1
383,F Behardien,3,1,14.0,9.0,7.0,13,1.07692307692,0,0,2,0,1
384,Ishan Kishan,15,2,319.0,61.0,20.63888888888889,241,1.3236514522799998,0,1,34,13,3
385,M Ashwin,1,0,0.0,0.0,0.0,1,0.0,0,0,0,0,1
386,S Vidyut,8,0,145.0,54.0,18.125,110,1.3181818181799998,0,1,21,3,1
387,HH Gibbs,36,10,886.0,69.0,43.936507936507944,786,1.1272264631,0,6,83,31,2
388,AP Tare,27,4,339.0,59.0,12.016666666666666,270,1.2555555555600002,0,1,40,11,3
389,Harmeet Singh,4,3,18.0,14.0,,12,1.5,0,0,3,0,1
390,Ankit Sharma,10,3,87.0,30.0,inf,67,1.29850746269,0,0,7,4,1
391,AL Menaria,23,4,401.0,40.0,15.166666666666664,352,1.13920454545,0,0,24,18,3
392,SM Katich,11,2,241.0,75.0,57.0625,178,1.35393258427,0,2,26,8,1
393,YS Chahal,8,6,15.0,4.0,inf,28,0.535714285714,0,0,0,0,1
394,DS Kulkarni,16,9,90.0,28.0,inf,94,0.957446808511,0,0,6,2,1
395,Pankaj Singh,5,3,7.0,4.0,inf,12,0.583333333333,0,0,0,0,1
396,Shakib Al Hasan,32,10,500.0,66.0,inf,377,1.3262599469499998,0,2,44,15,3
397,HH Pandya,33,16,406.0,61.0,25.317460317460323,279,1.45519713262,0,1,24,28,3
398,Yashpal Singh,4,0,47.0,20.0,11.75,65,0.7230769230769999,0,0,5,0,1
399,KS Williamson,15,5,411.0,89.0,inf,311,1.3215434083600002,0,3,35,11,3
400,BJ Haddin,1,0,18.0,18.0,18.0,11,1.63636363636,0,0,2,1,1
401,K Rabada,3,0,55.0,44.0,18.33333333333333,63,0.8730158730159999,0,0,5,1,1
402,Kuldeep Yadav,2,0,20.0,16.0,10.0,22,0.909090909091,0,0,2,0,1
403,LPC Silva,3,1,40.0,23.0,20.0,24,1.6666666666699999,0,0,5,1,1
404,SA Asnodkar,19,3,423.0,60.0,17.302083333333332,332,1.2740963855399998,0,2,56,10,3
405,B Laughlin,2,1,4.0,4.0,4.0,9,0.444444444444,0,0,0,0,1
406,AR Patel,42,18,606.0,44.0,24.336309523809533,471,1.2866242038200002,0,0,34,28,3
407,L Ronchi,5,2,34.0,13.0,8.5,34,1.0,0,0,6,1,1
408,TM Head,10,4,205.0,75.0,32.375,147,1.39455782313,0,1,12,8,1
409,WPUJC Vaas,11,4,81.0,20.0,16.0,70,1.15714285714,0,0,2,3,1
410,AP Majumdar,4,2,87.0,31.0,43.5,74,1.17567567568,0,0,7,2,1
411,BR Dunk,3,0,40.0,20.0,13.333333333333336,34,1.17647058824,0,0,7,0,1
412,R Bhatia,47,21,342.0,26.0,15.73,278,1.23021582734,0,0,24,13,3
413,R Tewatia,3,1,35.0,16.0,17.5,20,1.75,0,0,4,1,1
414,PA Patel,116,30,2322.0,81.0,26.59827922077923,1938,1.19814241486,0,10,297,35,0
415,DT Christian,31,13,420.0,39.0,19.866666666666667,336,1.25,0,0,22,18,3
416,CJ Jordan,2,2,3.0,3.0,,4,0.75,0,0,0,0,1
417,A Ashish Reddy,23,8,280.0,36.0,19.354166666666664,192,1.4583333333300001,0,0,16,15,1
418,N Saini,10,3,140.0,50.0,20.0,138,1.0144927536200001,0,1,16,0,1
419,Harpreet Singh,3,2,20.0,13.0,inf,26,0.769230769231,0,0,0,0,1
420,T Taibu,3,0,31.0,15.0,10.333333333333334,26,1.19230769231,0,0,3,0,1
421,ND Doshi,1,0,0.0,0.0,0.0,13,0.0,0,0,0,0,1
422,MA Khote,3,2,24.0,9.0,24.0,19,1.26315789474,0,0,2,1,1
423,SMSM Senanayake,4,3,10.0,7.0,10.0,16,0.625,0,0,0,0,1
424,S Badree,5,1,13.0,8.0,3.25,23,0.5652173913040001,0,0,0,0,1
425,DJ Jacobs,7,0,92.0,32.0,7.666666666666668,93,0.989247311828,0,0,10,4,1
426,S Rana,8,3,91.0,19.0,18.125,77,1.1818181818200002,0,0,9,1,1
427,AB de Villiers,118,45,3486.0,133.0,46.921006493506496,2311,1.50843790567,3,23,287,158,4
428,BB Sran,3,3,4.0,2.0,inf,3,1.33333333333,0,0,0,0,1
429,UBT Chand,20,1,300.0,58.0,10.675925925925926,296,1.0135135135100002,0,1,32,9,3
430,AC Voges,7,2,181.0,45.0,36.2,138,1.3115942029,0,0,15,3,1
431,RG Sharma,153,42,4207.0,109.0,38.83404761904761,3178,1.32378854626,1,32,354,173,4
432,A Nehra,17,9,41.0,22.0,inf,55,0.745454545455,0,0,3,1,1
433,Harbhajan Singh,82,36,799.0,64.0,21.234761904761907,550,1.45272727273,0,1,76,41,3
434,JO Holder,5,0,38.0,16.0,10.75,29,1.31034482759,0,0,4,2,1
435,C Madan,1,0,15.0,15.0,15.0,18,0.833333333333,0,0,3,0,1
436,Gurkeerat Singh,24,10,342.0,51.0,35.979166666666664,268,1.27611940299,0,1,36,9,3
437,MS Bisla,39,9,798.0,92.0,23.787037037037038,689,1.15820029028,0,4,93,23,3
438,M Kaif,22,10,259.0,34.0,21.125,246,1.05284552846,0,0,22,6,3
439,Shoaib Ahmed,3,1,1.0,1.0,0.5,6,0.166666666667,0,0,0,0,1
440,CM Gautam,13,6,169.0,33.0,18.75,145,1.16551724138,0,0,17,6,1
441,RD Chahar,1,1,3.0,3.0,inf,2,1.5,0,0,0,0,1
442,J Syed Mohammad,5,3,29.0,13.0,inf,26,1.1153846153799998,0,0,4,0,1
443,RR Pant,24,5,564.0,97.0,29.392857142857146,368,1.53260869565,0,3,47,30,3
444,PJ Cummins,9,3,77.0,24.0,7.7,53,1.45283018868,0,0,5,4,1
445,R Sharma,19,8,66.0,14.0,6.5,72,0.916666666667,0,0,5,3,1
446,Sunny Gupta,1,1,0.0,0.0,,1,0.0,0,0,0,0,1
447,MK Pandey,95,26,2223.0,114.0,34.1774458874459,1830,1.21475409836,1,9,197,65,0
448,STR Binny,56,24,766.0,48.0,22.75357142857143,595,1.28739495798,0,0,59,29,3
449,DJ Thornely,4,3,39.0,30.0,39.0,52,0.75,0,0,2,2,1
450,DR Smith,88,20,2385.0,87.0,32.9364758698092,1718,1.3882421420299997,0,17,245,117,0
451,BB McCullum,103,27,2755.0,158.0,39.19141025641026,2061,1.33672974284,2,13,277,124,0
452,AB Agarkar,18,11,179.0,39.0,inf,148,1.20945945946,0,0,13,5,1
453,SK Raina,157,45,4548.0,100.0,41.45387723387724,3213,1.41549953315,1,31,402,174,4
454,SM Pollock,8,0,147.0,33.0,18.375,109,1.3486238532100001,0,0,12,8,1
455,C Nanda,1,0,0.0,0.0,0.0,1,0.0,0,0,0,0,1
456,BA Stokes,11,2,316.0,103.0,35.111111111111114,219,1.44292237443,1,1,22,15,3
457,P Kumar,57,25,340.0,34.0,9.551111111111112,307,1.10749185668,0,0,22,17,3
458,OA Shah,22,11,506.0,76.0,36.208333333333336,380,1.33157894737,0,4,34,23,3
459,V Kohli,141,35,4423.0,113.0,41.28328282828284,3376,1.31013033175,4,31,384,160,4
460,IC Pandey,1,0,0.0,0.0,0.0,2,0.0,0,0,0,0,1
461,WP Saha,78,22,1557.0,115.0,30.53760683760684,1172,1.32849829352,1,6,130,57,2
