Pos,Player,Inns,NO,Runs,HS,Avg,BF,SR,100,50,4s,6s,Cluster_num
114,RG More,1,1,2.0,2.0,inf,2,1.0,0,0,0,0,1
115,AC Blizzard,7,0,120.0,51.0,10.0,89,1.34831460674,0,1,21,2,1
116,DJ Muthuswami,1,0,1.0,1.0,1.0,3,0.33333333333299997,0,0,0,0,1
117,MEK Hussey,58,12,1977.0,116.0,41.54047619047617,1581,1.2504743833,1,15,198,52,0
118,JDP Oram,11,4,106.0,41.0,11.866666666666667,106,1.0,0,0,6,5,1
119,MJ McClenaghan,12,5,63.0,20.0,9.888888888888888,44,1.4318181818200002,0,0,2,6,1
120,SS Tiwary,64,29,1276.0,61.0,inf,1048,1.21755725191,0,7,93,45,2
121,NM Coulter-Nile,11,5,52.0,9.0,inf,50,1.04,0,0,3,4,1
122,RJ Harris,21,10,117.0,17.0,12.44,110,1.06363636364,0,0,6,3,1
123,DJ Bravo,81,36,1262.0,70.0,inf,973,1.29701952724,0,4,102,48,2
124,Azhar Mahmood,21,7,388.0,80.0,21.66666666666667,296,1.31081081081,0,2,39,13,3
125,A Chandila,2,1,4.0,4.0,inf,7,0.5714285714289999,0,0,0,0,1
126,HM Amla,16,7,577.0,104.0,68.2,399,1.44611528822,2,3,60,21,3
127,Parvez Rasool,4,3,17.0,10.0,inf,19,0.894736842105,0,0,1,0,1
128,B Kumar,33,16,158.0,24.0,inf,154,1.02597402597,0,0,15,3,1
129,GJ Bailey,36,14,663.0,61.0,32.46666666666667,532,1.2462406015,0,2,59,19,3
130,B Sumanth,4,3,35.0,16.0,35.0,37,0.9459459459460001,0,0,3,0,1
131,R Dravid,82,14,2174.0,75.0,32.399221380471374,1853,1.17323259579,0,11,269,28,0
132,Y Nagar,20,8,285.0,44.0,19.4375,250,1.14,0,0,20,9,3
133,SK Trivedi,14,6,42.0,9.0,inf,59,0.7118644067800001,0,0,3,1,1
134,Mohammad Ashraful,1,0,2.0,2.0,2.0,9,0.222222222222,0,0,0,0,1
135,RP Singh,28,15,52.0,10.0,3.583333333333333,71,0.732394366197,0,0,2,1,1
136,SB Styris,10,4,131.0,36.0,inf,130,1.00769230769,0,0,10,3,1
137,PJ Sangwan,12,6,24.0,6.0,inf,35,0.6857142857140001,0,0,1,0,1
138,SJ Srivastava,4,3,5.0,3.0,inf,5,1.0,0,0,0,0,1
139,Swapnil Singh,3,1,12.0,10.0,,20,0.6,0,0,0,0,1
140,JJ van der Wath,3,2,18.0,14.0,18.0,16,1.125,0,0,1,1,1
141,JM Kemp,2,1,26.0,22.0,26.0,24,1.08333333333,0,0,1,1,1
142,LA Carseldine,5,4,81.0,39.0,81.0,65,1.24615384615,0,0,11,0,1
143,Yuvraj Singh,116,28,2591.0,83.0,30.460297418630763,1948,1.33008213552,0,12,205,141,0
144,Mohammad Nabi,1,0,2.0,2.0,2.0,3,0.666666666667,0,0,0,0,1
145,RS Gavaskar,1,0,2.0,2.0,2.0,8,0.25,0,0,0,0,1
146,P Dogra,12,3,127.0,41.0,10.466666666666667,137,0.92700729927,0,0,4,5,1
147,DP Nannes,2,1,4.0,3.0,4.0,13,0.307692307692,0,0,0,0,1
148,SN Thakur,4,1,7.0,7.0,inf,9,0.777777777778,0,0,1,0,1
149,IR Jaggi,7,2,76.0,28.0,18.166666666666668,96,0.791666666667,0,0,6,0,1
150,MS Dhoni,143,53,3560.0,70.0,41.692276334776345,2548,1.39717425432,0,17,251,156,4
151,TM Dilshan,50,14,1153.0,76.0,30.952777777777783,980,1.1765306122399999,0,9,140,24,2
152,CA Lynn,12,3,384.0,93.0,29.75,239,1.60669456067,0,3,31,23,3
153,GH Vihari,21,4,280.0,46.0,15.107142857142858,309,0.906148867314,0,0,23,1,3
154,K Upadhyay,2,2,12.0,11.0,inf,9,1.33333333333,0,0,0,1,1
155,NS Naik,2,0,23.0,22.0,11.5,31,0.741935483871,0,0,1,0,1
156,RV Gomez,9,5,50.0,26.0,inf,50,1.0,0,0,5,1,1
157,Mohammad Asif,2,0,3.0,3.0,1.5,6,0.5,0,0,0,0,1
158,JJ Bumrah,6,3,25.0,16.0,8.333333333333334,26,0.9615384615379999,0,0,1,1,1
159,S Anirudha,12,7,136.0,64.0,,113,1.20353982301,0,1,9,7,1
160,Z Khan,27,13,117.0,23.0,7.854166666666668,137,0.8540145985400001,0,0,11,2,1
161,J Yadav,2,2,6.0,5.0,inf,10,0.6,0,0,0,0,1
162,A Kumble,15,13,35.0,8.0,inf,46,0.760869565217,0,0,3,0,1
163,SE Bond,1,0,1.0,1.0,1.0,2,0.5,0,0,0,0,1
164,MC Juneja,7,1,125.0,49.0,20.83333333333333,126,0.992063492063,0,0,11,1,1
165,J Theron,4,2,10.0,7.0,inf,12,0.833333333333,0,0,1,0,1
166,SW Tait,5,3,23.0,11.0,inf,26,0.884615384615,0,0,1,1,1
167,R Ashwin,36,18,231.0,29.0,15.197916666666664,235,0.9829787234039999,0,0,22,2,1
168,SA Abbott,2,1,15.0,14.0,15.0,12,1.25,0,0,1,1,1
169,CL White,45,17,971.0,78.0,32.195,751,1.29294274301,0,6,76,38,2
170,NJ Rimmington,1,1,1.0,1.0,inf,1,1.0,0,0,0,0,1
171,YK Pathan,133,47,2922.0,100.0,36.74204184704185,1965,1.48702290076,1,14,240,149,0
172,RS Sodhi,1,1,4.0,4.0,inf,2,2.0,0,0,1,0,1
173,D Kalyankrishna,1,0,3.0,3.0,3.0,7,0.428571428571,0,0,0,0,1
174,AM Rahane,105,29,3057.0,103.0,36.38080808080808,2511,1.2174432497,1,25,320,60,0
175,R Bishnoi,3,0,19.0,18.0,6.333333333333332,17,1.11764705882,0,0,1,2,1
176,PA Reddy,10,1,164.0,42.0,24.75,161,1.01863354037,0,0,15,2,1
177,KM Jadhav,57,25,893.0,69.0,inf,645,1.38449612403,0,3,72,33,3
178,D Salunkhe,3,3,33.0,26.0,inf,24,1.375,0,0,5,0,1
179,Mashrafe Mortaza,1,1,2.0,2.0,inf,2,1.0,0,0,0,0,1
180,M Vijay,99,27,2511.0,127.0,33.56597222222222,2017,1.24491819534,2,13,237,89,0
181,SP Goswami,16,2,241.0,52.0,17.06,250,0.9640000000000001,0,1,26,2,3
182,R Ninan,1,0,3.0,3.0,3.0,5,0.6,0,0,0,0,1
183,AA Noffke,1,0,9.0,9.0,9.0,10,0.9,0,0,1,0,1
184,VS Malik,2,1,7.0,6.0,inf,7,1.0,0,0,1,0,1
185,Sohail Tanvir,5,2,36.0,13.0,12.0,29,1.24137931034,0,0,3,1,1
186,TR Birt,5,0,75.0,27.0,15.0,57,1.3157894736799998,0,0,9,2,1
187,SB Bangar,7,1,49.0,17.0,5.7,56,0.875,0,0,1,3,1
188,AD Mascarenhas,11,1,79.0,27.0,inf,77,1.02597402597,0,0,5,1,1
189,S Tyagi,1,1,3.0,3.0,inf,4,0.75,0,0,0,0,1
190,SB Wagh,2,0,2.0,2.0,1.0,3,0.666666666667,0,0,0,0,1
191,NV Ojha,93,28,1553.0,94.0,23.66094276094276,1294,1.20015455951,0,6,121,79,2
192,FY Fazal,11,4,183.0,45.0,inf,171,1.0701754386,0,0,22,1,1
193,VS Yeligati,1,0,2.0,2.0,2.0,2,1.0,0,0,0,0,1
194,DM Bravo,1,1,6.0,6.0,inf,5,1.2,0,0,1,0,1
195,Mohammad Hafeez,8,1,64.0,16.0,9.142857142857142,79,0.8101265822779999,0,0,7,2,1
196,Sunny Singh,5,1,43.0,20.0,10.75,30,1.43333333333,0,0,6,1,1
197,AS Raut,16,9,194.0,36.0,35.166666666666664,169,1.14792899408,0,0,13,7,1
198,PP Chawla,65,27,515.0,24.0,13.315000000000005,436,1.18119266055,0,0,49,15,3
199,LA Pomersbach,16,6,302.0,79.0,50.5,236,1.27966101695,0,1,25,13,3
200,SS Iyer,32,9,807.0,96.0,29.88636363636364,620,1.30161290323,0,6,79,32,3
201,AP Dole,2,0,34.0,30.0,17.0,22,1.54545454545,0,0,3,1,1
202,AS Yadav,6,1,49.0,16.0,9.8,37,1.32432432432,0,0,5,2,1
203,S Dhawan,126,30,3561.0,95.0,36.456509324009325,2884,1.2347434119299998,0,28,401,71,4
204,HV Patel,12,4,47.0,10.0,6.25,33,1.42424242424,0,0,2,3,1
205,DNT Zoysa,2,1,11.0,10.0,11.0,7,1.57142857143,0,0,1,0,1
206,S Aravind,10,8,59.0,14.0,,54,1.09259259259,0,0,7,0,1
207,L Ablish,1,1,0.0,0.0,,2,0.0,0,0,0,0,1
208,DE Bollinger,4,3,21.0,16.0,,22,0.9545454545450001,0,0,1,1,1
209,TG Southee,8,4,54.0,25.0,inf,35,1.5428571428600002,0,0,3,3,1
210,SE Marsh,69,14,2489.0,115.0,44.3104938271605,1833,1.3578832515,1,20,269,78,0
211,A Symonds,36,14,974.0,117.0,52.7625,736,1.3233695652200002,1,5,74,41,2
212,CA Ingram,3,1,21.0,13.0,10.5,24,0.875,0,0,2,0,1
213,SC Ganguly,56,9,1349.0,91.0,28.089393939393943,1238,1.0896607431299998,0,7,137,42,2
214,A Flintoff,3,2,62.0,24.0,62.0,51,1.21568627451,0,0,5,2,1
215,K Goel,16,4,218.0,38.0,18.238095238095237,223,0.9775784753360001,0,0,17,9,1
216,MV Boucher,23,10,394.0,50.0,22.160714285714285,300,1.31333333333,0,1,32,13,3
217,AD Mathews,41,15,724.0,65.0,25.975,569,1.27240773286,0,1,44,29,3
218,A Mithun,6,1,34.0,11.0,5.333333333333333,25,1.36,0,0,4,1,1
219,C de Grandhomme,9,3,126.0,36.0,21.0,90,1.4,0,0,10,6,1
220,SP Jackson,3,2,38.0,16.0,38.0,31,1.22580645161,0,0,5,0,1
221,S Kaushik,1,0,0.0,0.0,0.0,1,0.0,0,0,0,0,1
222,R Vinay Kumar,41,16,304.0,26.0,15.548148148148151,267,1.1385767790299999,0,0,20,9,3
223,DJ Hooda,30,11,373.0,54.0,24.592592592592588,264,1.41287878788,0,1,20,20,3
224,MN Samuels,14,3,161.0,46.0,11.444444444444445,165,0.975757575758,0,0,9,7,1
225,DP Vijaykumar,1,1,1.0,1.0,inf,1,1.0,0,0,0,0,1
226,S Sohal,20,4,368.0,62.0,18.0,284,1.2957746478899999,0,2,34,18,3
227,BE Hendricks,2,1,1.0,1.0,inf,3,0.33333333333299997,0,0,0,0,1
228,TA Boult,1,1,5.0,5.0,inf,8,0.625,0,0,0,0,1
229,AC Thomas,4,2,20.0,12.0,inf,19,1.05263157895,0,0,1,1,1
230,MS Gony,15,6,99.0,42.0,10.416666666666666,69,1.4347826087,0,0,6,8,1
231,S Chanderpaul,3,0,25.0,16.0,8.333333333333334,31,0.8064516129029999,0,0,4,0,1
232,RJ Quiney,7,2,103.0,51.0,20.6,98,1.05102040816,0,1,12,3,1
233,V Shankar,4,2,101.0,63.0,50.5,76,1.3289473684200002,0,1,12,1,1
234,DA Warner,114,26,4014.0,126.0,44.578835978835976,2777,1.4454447245200002,3,36,401,160,4
235,EJG Morgan,45,10,854.0,66.0,22.15224867724868,690,1.2376811594200001,0,4,72,34,3
236,P Parameswaran,2,2,1.0,1.0,,2,0.5,0,0,0,0,1
237,KC Sangakkara,68,11,1687.0,94.0,29.907936507936512,1363,1.23771093177,0,10,195,27,2
238,AT Rayudu,105,33,2416.0,81.0,33.04182449494949,1888,1.27966101695,0,14,205,79,0
239,SR Tendulkar,78,24,2334.0,100.0,42.064646464646465,1915,1.21879895561,1,13,296,29,0
240,BCJ Cutting,8,4,124.0,39.0,inf,64,1.9375,0,0,9,10,1
241,Basil Thampi,5,4,28.0,13.0,28.0,26,1.07692307692,0,0,1,1,1
242,M Rawat,11,7,55.0,23.0,inf,66,0.833333333333,0,0,4,1,1
243,MP Stoinis,8,2,163.0,52.0,27.166666666666664,131,1.24427480916,0,1,14,4,1
244,Younis Khan,1,0,3.0,3.0,3.0,7,0.428571428571,0,0,0,0,1
245,AB Barath,3,2,42.0,33.0,42.0,41,1.0243902439,0,0,5,1,1
246,MN van Wyk,5,2,167.0,74.0,55.66666666666666,127,1.31496062992,0,1,19,1,1
247,AUK Pathan,7,3,39.0,14.0,8.5,23,1.6956521739100001,0,0,5,2,1
248,F du Plessis,46,15,1295.0,73.0,37.025,1004,1.28984063745,0,8,110,38,2
249,PSP Handscomb,1,0,6.0,6.0,6.0,12,0.5,0,0,0,0,1
250,AD Russell,25,7,574.0,66.0,22.680952380952377,330,1.7393939393900002,0,3,48,37,3
251,AA Bilakhia,7,5,69.0,22.0,34.5,82,0.8414634146340001,0,0,5,0,1
252,CJ Anderson,26,11,521.0,95.0,40.64814814814815,395,1.31898734177,0,3,40,30,3
253,VH Zol,2,0,29.0,16.0,14.5,26,1.1153846153799998,0,0,3,1,1
254,S Badrinath,65,29,1441.0,71.0,43.592063492063495,1186,1.2150084317,0,11,154,28,2
255,KC Cariappa,4,1,15.0,12.0,7.0,18,0.833333333333,0,0,0,1,1
256,PM Sarvesh Kumar,1,1,1.0,1.0,inf,2,0.5,0,0,0,0,1
257,NL McCullum,2,1,26.0,15.0,26.0,21,1.2380952381,0,0,0,1,1
258,Karanveer Singh,4,3,12.0,5.0,inf,17,0.705882352941,0,0,1,0,1
259,M Ntini,2,1,11.0,11.0,11.0,18,0.611111111111,0,0,2,0,1
260,BJ Rohrer,8,2,193.0,64.0,32.166666666666664,138,1.39855072464,0,1,21,5,1
261,I Malhotra,1,1,7.0,7.0,inf,4,1.75,0,0,1,0,1
262,WA Mota,8,4,56.0,25.0,18.0,75,0.7466666666670001,0,0,2,0,1
263,T Henderson,2,1,11.0,11.0,11.0,15,0.733333333333,0,0,0,1,1
264,G Gambhir,146,34,4132.0,93.0,37.89277389277389,3271,1.26322225619,0,35,484,58,4
265,S Sreesanth,12,10,34.0,15.0,inf,51,0.666666666667,0,0,6,0,1
266,MD Mishra,17,7,237.0,41.0,inf,204,1.16176470588,0,0,24,8,1
267,U Kaul,1,1,0.0,0.0,,1,0.0,0,0,0,0,1
268,SB Jakati,5,3,28.0,13.0,inf,29,0.965517241379,0,0,3,0,1
269,CR Woakes,7,5,46.0,18.0,23.0,47,0.978723404255,0,0,4,1,1
270,W Jaffer,8,1,130.0,50.0,15.25,120,1.08333333333,0,1,14,3,1
271,SS Shaikh,1,1,6.0,6.0,inf,7,0.8571428571430001,0,0,1,0,1
272,SB Joshi,2,0,6.0,3.0,3.0,14,0.428571428571,0,0,0,0,1
273,FH Edwards,2,1,4.0,3.0,4.0,5,0.8,0,0,0,0,1
274,M Muralitharan,9,4,20.0,6.0,inf,28,0.714285714286,0,0,1,0,1
275,R Dhawan,16,12,153.0,25.0,inf,133,1.15037593985,0,0,13,4,1
276,AF Milne,3,0,7.0,5.0,2.333333333333333,12,0.583333333333,0,0,0,0,1
