DA Warner,Mohammed Shami,0.125,0.5,0.125,0.0,0.125,0.125,0.0
AT Rayudu,AC Thomas,0.6667,0.0,0.0,0.0,0.1667,0.0,0.1667
AC Gilchrist,Z Khan,0.3077,0.2308,0.0,0.0,0.2308,0.0769,0.1538
CH Gayle,RP Singh,0.4762,0.2381,0.0,0.0,0.1429,0.0952,0.0476
KD Karthik,MM Sharma,0.4118,0.4118,0.0588,0.0,0.0882,0.0294,0.0
SA Yadav,R Vinay Kumar,0.125,0.375,0.0,0.0,0.375,0.125,0.0
M Muralitharan,DP Nannes,0.5,0.5,0.0,0.0,0.0,0.0,0.0
VVS Laxman,Pankaj Singh,0.5,0.5,0.0,0.0,0.0,0.0,0.0
W Jaffer,M Morkel,0.5,0.1667,0.1667,0.0,0.1667,0.0,0.0
MA Starc,KA Pollard,0.0,1.0,0.0,0.0,0.0,0.0,0.0
YK Pathan,J Suchith,0.2,0.4,0.0,0.0,0.2,0.2,0.0
RP Singh,SK Trivedi,0.5,0.0,0.0,0.0,0.0,0.0,0.5
AB de Villiers,Sandeep Sharma,0.0,0.8571,0.0,0.0,0.1429,0.0,0.0
DB Das,MS Gony,0.6667,0.3333,0.0,0.0,0.0,0.0,0.0
RV Uthappa,A Singh,0.6667,0.3333,0.0,0.0,0.0,0.0,0.0
AB de Villiers,SR Tendulkar,0.1667,0.1667,0.0,0.0,0.5,0.1667,0.0
AG Paunikar,Shakib Al Hasan,0.0,0.3333,0.0,0.0,0.3333,0.0,0.3333
JH Kallis,AB Agarkar,0.5,0.2143,0.0,0.0,0.0714,0.1429,0.0714
IK Pathan,TL Suman,0.3333,0.0,0.0,0.0,0.3333,0.0,0.3333
SPD Smith,IK Pathan,0.0,0.75,0.25,0.0,0.0,0.0,0.0
DA Warner,SK Warne,0.5714,0.2857,0.0,0.0,0.1429,0.0,0.0
BB McCullum,Parvez Rasool,0.6,0.0,0.0,0.0,0.2,0.2,0.0
TM Dilshan,RG Sharma,0.1538,0.6923,0.1538,0.0,0.0,0.0,0.0
NV Ojha,R McLaren,0.3333,0.3333,0.0,0.0,0.3333,0.0,0.0
DA Miller,Mohammed Shami,0.4,0.2,0.0,0.0,0.2,0.2,0.0
EJG Morgan,PP Ojha,0.8,0.2,0.0,0.0,0.0,0.0,0.0
AP Tare,R Dhawan,0.0,1.0,0.0,0.0,0.0,0.0,0.0
KV Sharma,R Sharma,0.5,0.25,0.0,0.0,0.0,0.0,0.25
SC Ganguly,RR Raje,0.4,0.4,0.0,0.0,0.2,0.0,0.0
PP Chawla,SB Styris,0.3333,0.3333,0.0,0.0,0.0,0.3333,0.0
BJ Hodge,Jaskaran Singh,0.2,0.4,0.0,0.0,0.2,0.0,0.2
TL Suman,R Vinay Kumar,0.1875,0.375,0.25,0.0,0.0625,0.0625,0.0625
AB de Villiers,RA Jadeja,0.2778,0.5556,0.0278,0.0,0.1111,0.0278,0.0
BJ Hodge,DW Steyn,0.3077,0.3077,0.0,0.0,0.3846,0.0,0.0
S Dhawan,R McLaren,0.2,0.4,0.0,0.0,0.4,0.0,0.0
SPD Smith,Sandeep Sharma,0.125,0.625,0.125,0.0,0.125,0.0,0.0
Yuvraj Singh,JJ Bumrah,0.3333,0.3333,0.0,0.0,0.0,0.0,0.3333
VVS Laxman,Mohammad Asif,0.6,0.2,0.0,0.0,0.0,0.0,0.2
J Botha,AM Salvi,0.25,0.5,0.125,0.0,0.125,0.0,0.0
SV Samson,Sandeep Sharma,0.3333,0.3333,0.0,0.0,0.0,0.0,0.3333
DA Warner,L Balaji,0.2,0.45,0.1,0.0,0.15,0.0,0.1
CM Gautam,S Nadeem,0.3333,0.3333,0.0,0.3333,0.0,0.0,0.0
DR Smith,MS Gony,0.2,0.4,0.0,0.0,0.4,0.0,0.0
AM Rahane,DP Nannes,0.0,0.7143,0.0,0.0,0.2857,0.0,0.0
M Muralitharan,Sohail Tanvir,0.6667,0.0,0.0,0.0,0.0,0.0,0.3333
RV Uthappa,B Akhil,0.2727,0.4545,0.0909,0.0,0.0909,0.0,0.0909
A Flintoff,DJ Bravo,0.5,0.0,0.0,0.1667,0.1667,0.1667,0.0
MK Pandey,MC Henriques,0.3333,0.3333,0.0,0.0,0.0,0.3333,0.0
