Pos,Player,Inns,NO,Runs,HS,Avg,BF,SR,100,50,4s,6s
435,C Madan,1,0,15.0,15.0,15.0,18,0.833333333333,0,0,3,0
436,Gurkeerat Singh,24,10,342.0,51.0,35.979166666666664,268,1.27611940299,0,1,36,9
437,MS Bisla,39,9,798.0,92.0,23.787037037037038,689,1.15820029028,0,4,93,23
438,M Kaif,22,10,259.0,34.0,21.125,246,1.05284552846,0,0,22,6
439,Shoaib Ahmed,3,1,1.0,1.0,0.5,6,0.166666666667,0,0,0,0
440,CM Gautam,13,6,169.0,33.0,18.75,145,1.16551724138,0,0,17,6
441,RD Chahar,1,1,3.0,3.0,inf,2,1.5,0,0,0,0
442,J Syed Mohammad,5,3,29.0,13.0,inf,26,1.11538461538,0,0,4,0
443,RR Pant,24,5,564.0,97.0,29.392857142857142,368,1.53260869565,0,3,47,30
444,PJ Cummins,9,3,77.0,24.0,7.7,53,1.45283018868,0,0,5,4
445,R Sharma,19,8,66.0,14.0,6.5,72,0.916666666667,0,0,5,3
446,Sunny Gupta,1,1,0.0,0,nan,1,0.0,0,0,0,0
447,MK Pandey,95,26,2223.0,114.0,34.1774458874459,1830,1.21475409836,1,9,197,65
448,STR Binny,56,24,766.0,48.0,22.75357142857143,595,1.28739495798,0,0,59,29
449,DJ Thornely,4,3,39.0,30.0,39.0,52,0.75,0,0,2,2
450,DR Smith,88,20,2385.0,87.0,32.9364758698092,1718,1.38824214203,0,17,245,117
451,BB McCullum,103,27,2755.0,158.0,39.19141025641026,2061,1.33672974284,2,13,277,124
452,AB Agarkar,18,11,179.0,39.0,inf,148,1.20945945946,0,0,13,5
453,SK Raina,157,45,4548.0,100.0,41.453877233877236,3213,1.41549953315,1,31,402,174
454,SM Pollock,8,0,147.0,33.0,18.375,109,1.34862385321,0,0,12,8
455,C Nanda,1,0,0.0,0,0.0,1,0.0,0,0,0,0
456,BA Stokes,11,2,316.0,103.0,35.111111111111114,219,1.44292237443,1,1,22,15
457,P Kumar,57,25,340.0,34.0,9.551111111111112,307,1.10749185668,0,0,22,17
458,OA Shah,22,11,506.0,76.0,36.208333333333336,380,1.33157894737,0,4,34,23
459,V Kohli,141,35,4423.0,113.0,41.283282828282836,3376,1.31013033175,4,31,384,160
460,IC Pandey,1,0,0.0,0,0.0,2,0.0,0,0,0,0
461,WP Saha,78,22,1557.0,115.0,30.537606837606837,1172,1.32849829352,1,6,130,57
